"Date";"Open";"High";"Low";"Close";"Currency"
"2022-03-28";1.0984;1.1;1.0944;1.0987;"USD"
"2022-03-25";1.0998;1.1039;1.098;1.0981;"USD"
"2022-03-24";1.1004;1.1015;1.097;1.0997;"USD"
"2022-03-23";1.1029;1.1044;1.0964;1.1005;"USD"
"2022-03-22";1.1018;1.1046;1.096;1.103;"USD"
"2022-03-21";1.1072;1.1072;1.101;1.1017;"USD"
"2022-03-18";1.1092;1.1119;1.1004;1.1051;"USD"
"2022-03-17";1.1036;1.1139;1.1009;1.1094;"USD"
"2022-03-16";1.0956;1.1047;1.0949;1.1035;"USD"
"2022-03-15";1.094;1.102;1.0926;1.0957;"USD"
"2022-03-14";1.092;1.0995;1.0901;1.0941;"USD"
"2022-03-11";1.0986;1.1043;1.0903;1.0915;"USD"
"2022-03-10";1.1077;1.112;1.0977;1.099;"USD"
"2022-03-09";1.0899;1.1096;1.0891;1.1076;"USD"
"2022-03-08";1.0855;1.0959;1.085;1.0898;"USD"
"2022-03-07";1.0928;1.0932;1.0808;1.0856;"USD"
"2022-03-04";1.1066;1.1073;1.0891;1.0935;"USD"
"2022-03-03";1.1119;1.1123;1.1035;1.1065;"USD"
"2022-03-02";1.1128;1.1142;1.1059;1.112;"USD"
"2022-03-01";1.1219;1.1234;1.1091;1.1124;"USD"
"2022-02-28";1.1139;1.1245;1.1122;1.122;"USD"
"2022-02-25";1.1194;1.1276;1.1166;1.1273;"USD"
"2022-02-24";1.1307;1.1313;1.1108;1.1195;"USD"
"2022-02-23";1.1326;1.1361;1.13;1.1305;"USD"
"2022-02-22";1.1316;1.1366;1.1288;1.1324;"USD"
"2022-02-21";1.1317;1.1386;1.1306;1.1312;"USD"
"2022-02-18";1.1362;1.1378;1.1315;1.1321;"USD"
"2022-02-17";1.1374;1.1387;1.1323;1.1361;"USD"
"2022-02-16";1.1361;1.1397;1.1344;1.1375;"USD"
"2022-02-15";1.1307;1.1369;1.1302;1.136;"USD"
"2022-02-14";1.1352;1.1369;1.1281;1.1306;"USD"
"2022-02-11";1.1428;1.1433;1.1329;1.1349;"USD"
"2022-02-10";1.1426;1.1496;1.1378;1.1427;"USD"
"2022-02-09";1.1419;1.1447;1.1402;1.1425;"USD"
"2022-02-08";1.1443;1.145;1.1397;1.1418;"USD"
"2022-02-07";1.1468;1.1468;1.1416;1.1442;"USD"
"2022-02-04";1.144;1.1484;1.1413;1.1448;"USD"
"2022-02-03";1.1303;1.1451;1.1269;1.1438;"USD"
"2022-02-02";1.1274;1.1329;1.1266;1.1305;"USD"
"2022-02-01";1.1234;1.128;1.1221;1.1273;"USD"
"2022-01-31";1.1141;1.1248;1.1139;1.1235;"USD"
"2022-01-28";1.1146;1.1175;1.1121;1.1148;"USD"
"2022-01-27";1.1241;1.1244;1.1133;1.1145;"USD"
"2022-01-26";1.1302;1.1313;1.1236;1.124;"USD"
"2022-01-25";1.1327;1.1332;1.1265;1.1301;"USD"
"2022-01-24";1.1343;1.1346;1.1292;1.1325;"USD"
"2022-01-21";1.1312;1.1361;1.1301;1.1345;"USD"
"2022-01-20";1.1342;1.1369;1.1302;1.1311;"USD"
"2022-01-19";1.1326;1.1358;1.1319;1.1343;"USD"
"2022-01-18";1.1408;1.1423;1.1316;1.1327;"USD"
"2022-01-17";1.1416;1.1436;1.1393;1.1407;"USD"
"2022-01-14";1.1456;1.1483;1.1399;1.1416;"USD"
"2022-01-13";1.1441;1.1482;1.1436;1.1455;"USD"
"2022-01-12";1.1367;1.1455;1.1356;1.1442;"USD"
"2022-01-11";1.1325;1.1377;1.1314;1.137;"USD"
"2022-01-10";1.1362;1.1362;1.1286;1.1327;"USD"
"2022-01-07";1.1297;1.1366;1.1291;1.1363;"USD"
"2022-01-06";1.1313;1.1333;1.1284;1.13;"USD"
"2022-01-05";1.1287;1.1347;1.1277;1.1314;"USD"
"2022-01-04";1.1298;1.1322;1.1273;1.1288;"USD"
"2022-01-03";1.1367;1.138;1.128;1.1299;"USD"
"2021-12-31";1.1324;1.1387;1.1303;1.1373;"USD"
"2021-12-30";1.1352;1.1361;1.1299;1.1327;"USD"
"2021-12-29";1.1308;1.1369;1.1275;1.135;"USD"
"2021-12-28";1.1326;1.1335;1.1289;1.1311;"USD"
"2021-12-27";1.1321;1.1336;1.1302;1.1327;"USD"
"2021-12-24";1.1329;1.1345;1.1303;1.1322;"USD"
"2021-12-23";1.1325;1.1343;1.1291;1.1328;"USD"
"2021-12-22";1.1288;1.1342;1.1263;1.1326;"USD"
"2021-12-21";1.128;1.1303;1.126;1.1287;"USD"
"2021-12-20";1.1241;1.1304;1.1235;1.1276;"USD"
"2021-12-17";1.1335;1.135;1.1236;1.1239;"USD"
"2021-12-16";1.1286;1.1361;1.1281;1.1329;"USD"
"2021-12-15";1.126;1.13;1.1223;1.1292;"USD"
"2021-12-14";1.1286;1.1325;1.1254;1.126;"USD"
"2021-12-13";1.1319;1.1321;1.1261;1.1285;"USD"
"2021-12-10";1.1294;1.1324;1.1265;1.1318;"USD"
"2021-12-09";1.1342;1.1348;1.1279;1.1293;"USD"
"2021-12-08";1.1269;1.1357;1.1265;1.1343;"USD"
"2021-12-07";1.1285;1.13;1.1227;1.1267;"USD"
"2021-12-06";1.1316;1.132;1.1266;1.1286;"USD"
"2021-12-03";1.1301;1.1334;1.1266;1.1314;"USD"
"2021-12-02";1.132;1.1348;1.1296;1.1302;"USD"
"2021-12-01";1.1339;1.1361;1.1302;1.1321;"USD"
"2021-11-30";1.1293;1.1383;1.124;1.134;"USD"
"2021-11-29";1.1304;1.1316;1.1259;1.1294;"USD"
"2021-11-26";1.1211;1.1332;1.1206;1.1318;"USD"
"2021-11-25";1.1199;1.1232;1.1198;1.1209;"USD"
"2021-11-24";1.1249;1.1256;1.1186;1.12;"USD"
"2021-11-23";1.1237;1.1276;1.1226;1.1248;"USD"
"2021-11-22";1.1289;1.1294;1.1231;1.1235;"USD"
"2021-11-19";1.1372;1.1376;1.1249;1.128;"USD"
"2021-11-18";1.1321;1.1376;1.1314;1.1374;"USD"
"2021-11-17";1.1321;1.1334;1.1264;1.1319;"USD"
"2021-11-16";1.1368;1.1387;1.1309;1.1321;"USD"
"2021-11-15";1.1446;1.1464;1.1357;1.1366;"USD"
"2021-11-12";1.1449;1.1462;1.1435;1.1444;"USD"
"2021-11-11";1.148;1.1489;1.1442;1.1448;"USD"
"2021-11-10";1.1594;1.1597;1.1478;1.1478;"USD"
"2021-11-09";1.1588;1.1609;1.157;1.1596;"USD"
"2021-11-08";1.1551;1.1597;1.155;1.1587;"USD"
"2021-11-05";1.1555;1.1575;1.1514;1.1567;"USD"
"2021-11-04";1.1614;1.1619;1.1528;1.1557;"USD"
"2021-11-03";1.1581;1.1617;1.1563;1.1611;"USD"
"2021-11-02";1.1606;1.1615;1.1576;1.158;"USD"
"2021-11-01";1.1563;1.161;1.1545;1.1605;"USD"
"2021-10-29";1.1683;1.1691;1.1535;1.1563;"USD"
"2021-10-28";1.1604;1.1693;1.1583;1.1683;"USD"
"2021-10-27";1.1597;1.1627;1.1584;1.1603;"USD"
"2021-10-26";1.1608;1.1627;1.1584;1.1596;"USD"
"2021-10-25";1.1645;1.1666;1.1591;1.161;"USD"
"2021-10-22";1.1623;1.1657;1.1621;1.1646;"USD"
"2021-10-21";1.1652;1.1668;1.162;1.1626;"USD"
"2021-10-20";1.1634;1.166;1.1617;1.165;"USD"
"2021-10-19";1.1612;1.167;1.1608;1.1632;"USD"
"2021-10-18";1.1601;1.1624;1.1571;1.1614;"USD"
"2021-10-15";1.1599;1.1621;1.1587;1.1599;"USD"
"2021-10-14";1.1595;1.1625;1.1583;1.16;"USD"
"2021-10-13";1.1529;1.1599;1.1527;1.1596;"USD"
"2021-10-12";1.1554;1.1571;1.1524;1.1531;"USD"
"2021-10-11";1.158;1.1587;1.1549;1.1555;"USD"
"2021-10-08";1.1554;1.1585;1.1542;1.1577;"USD"
"2021-10-07";1.1558;1.1574;1.1548;1.1553;"USD"
"2021-10-06";1.16;1.1605;1.1529;1.1559;"USD"
"2021-10-05";1.1621;1.1623;1.1581;1.1599;"USD"
"2021-10-04";1.1597;1.1641;1.1587;1.162;"USD"
"2021-10-01";1.1581;1.1608;1.1563;1.1594;"USD"
"2021-09-30";1.1599;1.161;1.1563;1.1577;"USD"
"2021-09-29";1.1683;1.1691;1.1589;1.1598;"USD"
"2021-09-28";1.1698;1.1704;1.1669;1.1684;"USD"
"2021-09-27";1.1717;1.1729;1.1684;1.1696;"USD"
"2021-09-24";1.174;1.1748;1.1701;1.1721;"USD"
"2021-09-23";1.1689;1.1751;1.1683;1.1739;"USD"
"2021-09-22";1.1726;1.1756;1.1684;1.1688;"USD"
"2021-09-21";1.1725;1.1749;1.1715;1.1727;"USD"
"2021-09-20";1.1728;1.1738;1.1701;1.1728;"USD"
"2021-09-17";1.1763;1.1789;1.1724;1.1726;"USD"
