"Invoice";"InboundDate";"Supplier";"OrderDate";"InvoiceDate"
"FFCC141196";"2014-05-26";"PROV1650";"2014-05-10";"2014-05-29"
"FFCC141197";"2014-05-20";"PROV40000235";"2014-04-13";"2014-05-23"
"FFCC141198";"2014-05-12";"PROV1647";"2014-04-27";"2014-05-15"
"FFCC141199";"2014-05-19";"PROV40001000";"2014-03-24";"2014-05-22"
"FFCC141200";"2014-05-24";"PROV40000850";"2014-05-11";"2014-05-27"
"FFCC141201";"2014-05-15";"PROV1441";"2014-04-03";"2014-05-18"
"FFCC141251";"2014-05-30";"PROV40000187";"2014-04-15";"2014-06-02"
"FFCC141262";"2014-05-26";"PROV1027";"2014-05-05";"2014-05-29"
"FFCC141263";"2014-05-27";"PROV1027";"2014-04-20";"2014-05-30"
"FFCC141265";"2014-05-01";"PROV1485";"2014-04-06";"2014-05-04"
"FFCC141272";"2014-05-16";"PROV1061";"2014-04-10";"2014-05-19"
"FFCC141274";"2014-05-30";"PROV1414";"2014-05-10";"2014-06-02"
"FFCC141275";"2014-05-28";"PROV1003";"2014-04-09";"2014-05-31"
"FFCC141276";"2014-05-16";"PROV40000520";"2014-04-17";"2014-05-19"
"FFCC141277";"2014-05-29";"PROV40000850";"2014-04-16";"2014-06-01"
"FFCC141280";"2014-05-30";"PROV1465";"2014-04-28";"2014-06-02"
"FFCC141283";"2014-05-19";"PROV40002330";"2014-04-16";"2014-05-22"
"FFCC141285";"2014-05-26";"PROV40002330";"2014-05-08";"2014-05-29"
"FFCC141289";"2014-05-21";"PROV1650";"2014-05-05";"2014-05-24"
"FFCC141294";"2014-05-31";"PROV40002065";"2014-05-19";"2014-06-03"
"FFCC141301";"2014-05-23";"PROV40001600";"2014-04-05";"2014-05-26"
"FFCC141311";"2014-05-16";"PROV1397";"2014-04-18";"2014-05-19"
"FFCC141313";"2014-05-12";"PROV1428";"2014-04-05";"2014-05-15"
"FFCC141342";"2014-05-19";"PROV1485";"2014-04-06";"2014-05-22"
"FFCC141358";"2014-05-26";"PROV1485";"2014-04-20";"2014-05-29"
"FFCC141376";"2014-05-23";"PROV40000520";"2014-05-18";"2014-05-26"
"FFCC141388";"2014-05-02";"PROV40002220";"2014-03-13";"2014-05-05"
"FFCC141389";"2014-05-30";"PROV40000520";"2014-05-05";"2014-06-02"
