"Invoice";"Quantity";"Product";"PurchasePrice (Unit)";"Section"
"FFCC141196";1031;"MP04245";0.441839727796597;"Seccion A"
"FFCC141197";1931;"MP04227";1.6805698468234873;"Seccion D"
"FFCC141198";360;"MP02868";1.1592;"Seccion D"
"FFCC141198";240;"MP02869";1.2144;"Seccion E"
"FFCC141199";18138;"MP02700";0.12439097344335732;"Seccion E"
"FFCC141200";69;"MP04999";3.982381729287752;"Seccion D"
"FFCC141201";2095;"MP019602";1.8957528411927778;"Seccion E"
"FFCC141251";6521;"MP02421";0.0984;"Seccion B"
"FFCC141262";17173;"MP03122";0.16770626759457988;"Seccion F"
"FFCC141262";40516;"MP03152";0.2662500888763787;"Seccion A"
"FFCC141263";17259;"MP03122";0.16770626759457988;"Seccion B"
"FFCC141263";23710;"MP03121";0.17900042361486065;"Seccion E"
"FFCC141265";4940;"P4074";0.08830177456590854;"Seccion B"
"FFCC141265";7864;"P4152";0.14273675430225385;"Seccion E"
"FFCC141265";18867;"P4169";0.10203875590313076;"Seccion E"
"FFCC141265";2317;"P4172";0.2581542898376764;"Seccion B"
"FFCC141265";2459;"P4174";0.2721013042540539;"Seccion B"
"FFCC141265";6000;"P4176";0.053723999999999994;"Seccion C"
"FFCC141265";2400;"P4185";0.086022;"Seccion B"
"FFCC141265";9384;"P4188";0.19507653796287666;"Seccion B"
"FFCC141265";3368;"P4190";0.20209231518415627;"Seccion B"
"FFCC141265";7974;"P4204";0.10186118226772754;"Seccion E"
"FFCC141265";1440;"P4220";0.08349;"Seccion D"
"FFCC141265";8072;"P4229";0.2704474149546625;"Seccion F"
"FFCC141265";7473;"P4234";0.1811664091928235;"Seccion E"
"FFCC141265";6110;"P4235";0.220728473107949;"Seccion E"
"FFCC141265";2468;"P4240";0.08415122936927613;"Seccion D"
"FFCC141265";1957;"P4248";0.45001836523279576;"Seccion F"
"FFCC141265";1777;"P4249";0.3252591629182587;"Seccion C"
"FFCC141265";3184;"P4255";0.12819619042356312;"Seccion D"
"FFCC141265";4130;"P4265";0.19197906903190076;"Seccion C"
"FFCC141265";6240;"P4267";0.08256;"Seccion E"
"FFCC141265";5100;"P4279";0.098868;"Seccion B"
"FFCC141265";3041;"P4310";0.19339442790133504;"Seccion A"
"FFCC141265";2392;"P4341";0.13127380072428302;"Seccion C"
"FFCC141265";1201;"P4360";0.30377610496263785;"Seccion C"
"FFCC141265";17133;"P4371";0.24657540046312848;"Seccion B"
"FFCC141265";1500;"P4375";0.096;"Seccion E"
"FFCC141265";7303;"P4438";0.27387384868143827;"Seccion B"
"FFCC141265";27825;"P5050";0.17927123072584641;"Seccion B"
"FFCC141265";2400;"P5055";0.05676;"Seccion B"
"FFCC141265";6601;"P5070";0.24887612512396978;"Seccion D"
