"Product";"Type";"Division";"Group";"ShortDescription";"Description"
;"Tipo 11178";"Division 3";"Grupo 2";"Texto Search Descripcion 12";"Texto Descripcion 15"
"DE0001";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0002";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0003";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0004";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0005";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0006";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0007";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0008";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0009";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0010";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0011";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0012";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0013";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0014";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0015";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0016";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0017";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0018";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0020";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0021";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0022";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0023";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0024";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0025";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0026";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0027";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
"DE0028";"Tipo 3";"Division 3";"Grupo 2";"Texto Search Descripcion 8";"Texto Descripcion 12"
