Product,Type,Division,Group
Unknown,Tipo 11178,Division 3,Grupo 2
DE0001,Tipo 3,Division 3,Grupo 2
DE0002,Tipo 3,Division 3,Grupo 2
DE0003,Tipo 3,Division 3,Grupo 2
DE0004,Tipo 3,Division 3,Grupo 2
DE0005,Tipo 3,Division 3,Grupo 2
DE0006,Tipo 3,Division 3,Grupo 2
DE0007,Tipo 3,Division 3,Grupo 2
DE0008,Tipo 3,Division 3,Grupo 2
DE0009,Tipo 3,Division 3,Grupo 2
DE0010,Tipo 3,Division 3,Grupo 2
DE0011,Tipo 3,Division 3,Grupo 2
DE0012,Tipo 3,Division 3,Grupo 2
DE0013,Tipo 3,Division 3,Grupo 2
DE0014,Tipo 3,Division 3,Grupo 2
DE0015,Tipo 3,Division 3,Grupo 2
DE0016,Tipo 3,Division 3,Grupo 2
DE0017,Tipo 3,Division 3,Grupo 2
DE0018,Tipo 3,Division 3,Grupo 2
DE0020,Tipo 3,Division 3,Grupo 2
DE0021,Tipo 3,Division 3,Grupo 2
DE0022,Tipo 3,Division 3,Grupo 2
DE0023,Tipo 3,Division 3,Grupo 2
DE0024,Tipo 3,Division 3,Grupo 2
DE0025,Tipo 3,Division 3,Grupo 2
DE0026,Tipo 3,Division 3,Grupo 2
DE0027,Tipo 3,Division 3,Grupo 2
DE0028,Tipo 3,Division 3,Grupo 2
DE0029,Tipo 3,Division 3,Grupo 2
DE0030,Tipo 3,Division 3,Grupo 2
DE0031,Tipo 3,Division 3,Grupo 2
DE0032,Tipo 3,Division 3,Grupo 2
DE0033,Tipo 3,Division 3,Grupo 2
DE0034,Tipo 3,Division 3,Grupo 2
DE0035,Tipo 3,Division 3,Grupo 2
DE0036,Tipo 3,Division 3,Grupo 2
DE0037,Tipo 3,Division 3,Grupo 2
DE0038,Tipo 3,Division 3,Grupo 2
DE0039,Tipo 3,Division 3,Grupo 2
DE0040,Tipo 3,Division 3,Grupo 2
DE0041,Tipo 3,Division 3,Grupo 2
DE0042,Tipo 3,Division 3,Grupo 2
DE0043,Tipo 3,Division 3,Grupo 2
DE0044,Tipo 3,Division 3,Grupo 2
DE0045,Tipo 3,Division 3,Grupo 2
DE0046,Tipo 3,Division 3,Grupo 2
DE0047,Tipo 3,Division 3,Grupo 2
DE0048,Tipo 3,Division 3,Grupo 2
DE0049,Tipo 3,Division 3,Grupo 2
