IDSupplier;Product;Year;num_invoices;avg_lead_time_real;total_amount_eur;on_time_rate
PROV40000520;MP019423;2016;37;27,536585365853657;63041,05315068526;0,07317073170731707
PROV40000520;MP019423;2018;36;30,23076923076923;65640,05400353389;0,1282051282051282
PROV40002330;MP019307;2019;35;31,771428571428572;158239,30852928234;0,11428571428571428
PROV40000520;MP019423;2015;34;27,216216216216218;60297,27971470034;0,10810810810810811
PROV40000520;MP019423;2017;34;31,216216216216218;84951,3005167683;0,05405405405405406
PROV40000520;MP019450;2018;33;28,216216216216218;134793,50876761542;0,13513513513513514
PROV40002330;MP019307;2016;33;32,94285714285714;137348,69536335746;0,02857142857142857
PROV40002330;MP019307;2017;31;31,71875;129248,54967675086;0,09375
PROV40000520;MP019110;2015;31;32,8125;70779,42828833149;0,03125
PROV40000520;MP019423;2020;29;31,1875;54210,12117778844;0,0625
PROV40000520;MP019423;2019;29;30,90909090909091;77552,14548387437;0,0
PROV1441;MP019602;2015;28;31,09090909090909;229611,58839731608;0,09090909090909091
PROV40000520;MP019450;2017;28;31,275862068965516;72881,03860127823;0,06896551724137931
PROV1441;MP019602;2017;27;36,55263157894737;157474,2060181462;0,05263157894736842
PROV40000520;MP019110;2016;26;28,423076923076923;70977,04613539891;0,038461538461538464
PROV1485;P5092;2016;25;22,64;96904,47958746931;0,56
PROV1485;P5069;2017;25;26,620689655172413;305237,3227058046;0,3448275862068966
PROV40000520;MP019450;2016;25;31,423076923076923;70435,48038906146;0,07692307692307693
PROV40002330;MP019110;2020;25;34,30769230769231;46811,420584597494;0,038461538461538464
PROV1485;P4222;2017;24;25,2;163716,57156714122;0,43333333333333335
PROV40000520;MP019450;2019;24;30,833333333333332;81945,71379006632;0,0
PROV1485;P5083;2017;23;25,0;70967,34861664489;0,43478260869565216
PROV1485;P4169;2017;23;29,0;99058,72738321565;0,3333333333333333
PROV40000520;MP019450;2020;23;29,692307692307693;75794,17299051213;0,11538461538461539
PROV1734;MP03122;2016;23;29,708333333333332;83260,16814212246;0,08333333333333333
PROV1485;P5220;2017;22;27,0;223496,95582633297;0,34615384615384615
PROV1485;P5092;2017;22;27,44;115241,20336291849;0,32
PROV1441;MP019602;2016;22;25,525;157540,78768399658;0,2
PROV1485;P5133;2017;21;24,454545454545453;168049,66536824717;0,45454545454545453
PROV1485;P5092;2015;21;31,5;88760,44064570099;0,375
PROV1441;MP019602;2018;21;31,92;48276,54481935178;0,04
PROV1485;P5133;2016;20;23,90909090909091;188650,57496185484;0,5
PROV1485;P4222;2018;20;31,9;100990,0428003601;0,35
PROV1485;P4240;2017;20;28,238095238095237;9356,43125678223;0,3333333333333333
PROV1485;P4305;2017;20;29,727272727272727;18918,17051364156;0,2727272727272727
PROV40000520;MP019450;2015;20;24,19047619047619;51192,075371955936;0,19047619047619047
PROV1938;MP019607;2018;20;24,73913043478261;224067,6874420523;0,08695652173913043
PROV40002330;MP019110;2018;20;35,55;84277,29970220252;0,05
PROV1475;MP02519;2018;19;30,083333333333332;280038,86761427135;0,7916666666666666
PROV1485;P5092;2018;19;28,68421052631579;69871,05758019061;0,3684210526315789
PROV1485;P5220;2015;19;31,166666666666668;105516,21885615599;0,3333333333333333
PROV1485;P5208;2017;19;29,7;25943,406153929816;0,3
PROV1441;MP019602;2014;19;24,291666666666668;97209,05949770643;0,125
PROV40002330;MP019307;2018;19;28,210526315789473;85501,4004132947;0,10526315789473684
PROV40000520;MP019110;2014;19;29,2;42572,91379589036;0,1
PROV40000520;MP019110;2017;19;30,272727272727273;42160,49434890158;0,09090909090909091
PROV1485;P4240;2016;18;25,1;8913,853455102011;0,5
PROV1485;P5133;2018;18;24,4;116066,00438953002;0,45
PROV1485;P4214;2017;18;28,31578947368421;68689,70600965776;0,3684210526315789
PROV1485;P4473;2017;18;29,85;83647,0912286842;0,3
PROV40002330;MP019110;2019;18;28,88888888888889;56369,23954677941;0,1111111111111111
PROV1485;P4305;2016;17;25,294117647058822;9982,739535443665;0,5294117647058824
PROV1485;P4169;2015;17;28,31578947368421;62000,87518460666;0,47368421052631576
PROV1485;P5154;2017;17;29,22222222222222;212237,53488587038;0,3888888888888889
PROV1485;P5220;2016;17;28,764705882352942;178215,63741225694;0,35294117647058826
PROV1485;P5069;2015;17;33,65217391304348;137690,53496232533;0,21739130434782608
PROV40001000;MP02700;2017;17;32,95;235925,75315497583;0,2
PROV2128;MP04998;2020;17;28,77777777777778;35040,5220158911;0,1111111111111111
PROV1876;MP05000;2020;17;27,764705882352942;57016,71485371538;0,058823529411764705
PROV1475;MP02559;2018;16;31,842105263157894;114424,25888612708;0,8421052631578947
PROV1485;P4169;2016;16;21,94736842105263;36271,47837842479;0,631578947368421
PROV1485;P4240;2015;16;24,833333333333332;9087,37150347578;0,5555555555555556
PROV1485;P5083;2015;16;27,0;131201,25237286958;0,5
PROV1485;P4371;2017;16;23,88235294117647;93091,69688431376;0,47058823529411764
PROV1485;P4305;2015;16;29,764705882352942;21544,490209843705;0,4117647058823529
PROV1485;P5208;2018;16;25,294117647058822;10342,353067281434;0,35294117647058826
PROV1485;P5083;2018;16;28,0625;37815,52837331468;0,3125
PROV1734;MP03121;2017;16;35,63157894736842;73988,54438699309;0,15789473684210525
PROV40000520;MP019423;2014;16;27,0;23844,56613682206;0,11764705882352941
PROV1441;MP019602;2019;16;28,22222222222222;55493,456937539246;0,0
PROV40000520;MP019432;2015;16;30,823529411764707;30532,218029976004;0,0
PROV40002330;MP019401;2016;16;30,0625;16500,736093957312;0,0
PROV1475;MP02519;2019;15;28,27777777777778;133647,74108436287;0,8888888888888888
PROV1475;MP02519;2017;15;33,5625;152036,96744756398;0,875
PROV1003;MP03513;2015;15;32,0;0,0;0,6666666666666666
PROV40001000;MP02700;2018;15;27,6875;202255,16849677166;0,4375
PROV1485;P4204;2017;15;23,933333333333334;8652,291035674134;0,4
PROV1485;P5220;2018;15;30,666666666666668;235802,14293647028;0,3333333333333333
PROV1485;P4240;2018;15;28,3125;11212,956320941905;0,3125
PROV1485;P5069;2018;15;29,875;350034,8162395611;0,3125
PROV40002330;MP019401;2017;15;32,333333333333336;25303,039888935582;0,13333333333333333
PROV1876;MP05000;2019;15;36,333333333333336;53947,7496961327;0,06666666666666667
PROV40002330;MP019110;2021;15;36,53333333333333;33239,64473430298;0,06666666666666667
PROV1734;MP03121;2016;15;30,3125;54077,614098702645;0,0
PROV1756;P9476;2019;14;22,565217391304348;6393,3933916922715;0,9565217391304348
PROV1061;P9324;2016;14;27,866666666666667;2322,2762214037753;0,9333333333333333
PROV1061;P9331;2015;14;28,0;2138,4471149997958;0,9333333333333333
PROV1976;P9491;2019;14;25,58823529411765;10308,456566829549;0,8823529411764706
PROV1976;P9562T;2019;14;27,4;6224,802652447092;0,8666666666666667
PROV1003;MP03513;2016;14;37,07142857142857;0,0;0,7857142857142857
PROV1485;P4473;2016;14;18,666666666666668;105222,23392131596;0,6666666666666666
PROV1485;P4176;2017;14;19,928571428571427;34139,19160503314;0,6428571428571429
PROV1485;P4204;2016;14;22,2;7142,147691984085;0,6
PROV1485;P4279;2017;14;24,8;42390,82811373285;0,4666666666666667
PROV1485;P4371;2016;14;26,4;54262,72050585422;0,4666666666666667
PROV1485;P5083;2016;14;23,066666666666666;87226,75338072584;0,4666666666666667
PROV1485;P5154;2018;14;30,857142857142858;167754,1526382396;0,42857142857142855
PROV1485;P4267;2017;14;24,6;30686,617248964598;0,4
PROV1485;P5447;2017;14;27,6;182675,9988594855;0,4
PROV40001000;MP02701;2020;14;30,533333333333335;279079,86807727354;0,4
PROV1485;P5177;2019;14;33,375;13628,639309794578;0,375
PROV1485;P5069;2016;14;29,571428571428573;213990,73299659282;0,35714285714285715
PROV1485;P4439;2016;14;30,266666666666666;108521,54397451665;0,3333333333333333
PROV40001000;MP02700;2020;14;25,214285714285715;326290,7110312932;0,2857142857142857
PROV1485;P4169;2018;14;31,0625;46528,3687461794;0,25
PROV1876;MP05000;2018;14;25,071428571428573;35145,66009486369;0,21428571428571427
PROV1485;P5133;2020;14;29,75;34559,59630945474;0,1875
PROV40002330;MP019401;2018;14;24,857142857142858;24693,843450931163;0,14285714285714285
PROV40001000;MP02700;2016;14;35,375;160596,7513478874;0,125
PROV40000520;MP019450;2014;14;24,529411764705884;36784,36023083795;0,11764705882352941
PROV1938;MP019607;2019;14;29,357142857142858;130129,06456686977;0,07142857142857142
PROV40000520;MP019450;2021;14;27,642857142857142;29145,49780099583;0,07142857142857142
PROV1465;MP04209;2016;14;31,466666666666665;14119,12844172907;0,06666666666666667
PROV1734;MP03122;2017;14;37,333333333333336;112815,03667068065;0,06666666666666667
PROV40002330;MP019307;2015;14;33,6;63147,50665001855;0,06666666666666667
PROV40002330;MP019307;2020;14;27,444444444444443;51990,94271394623;0,05555555555555555
PROV1938;MP019607;2020;14;28,571428571428573;105502,85844375913;0,0
PROV40002330;MP019401;2019;14;36,53333333333333;21887,116305632262;0,0
PROV1756;P9289;2019;13;23,0;3425,4275010297983;0,9473684210526315
