IDSupplier,YearMonth,total_amount_eur,num_products,num_invoices
PROV40000500,2015-04,5598680.297653557,5,3
PROV40001825,2019-01,1684044.2740037972,4,4
PROV1397,2015-04,918017.8395362674,9,2
PROV1585,2021-01,757675.7658996071,171,4
PROV1585,2021-03,707850.6357737485,104,4
PROV1585,2019-01,672223.9279714719,148,5
PROV1585,2017-08,556492.9047814468,92,4
PROV41001800,2016-11,519607.9416576088,1,1
PROV1585,2018-01,504372.7747608376,98,3
PROV1585,2021-05,437402.24658081646,90,5
PROV41001800,2017-05,432190.0751647404,35,3
PROV1485,2017-08,412669.3801894566,135,6
PROV1585,2019-07,406771.30414102535,94,5
PROV1485,2020-01,398575.4774037641,130,3
PROV1585,2016-07,390135.7562989273,58,3
PROV41001800,2017-09,378411.4938828022,17,3
PROV1585,2018-11,374642.3516501792,115,4
PROV1585,2018-10,374373.66143964056,87,3
PROV1585,2019-02,371750.98168915184,104,4
PROV41001800,2016-12,371490.8733454382,1,1
PROV1485,2021-05,365412.326673295,121,3
PROV1485,2017-04,361276.2356305369,120,6
PROV1485,2017-05,356886.2766335742,94,6
PROV1485,2018-01,350425.4736577817,89,6
PROV1485,2018-03,348285.94099676295,79,4
PROV1585,2020-02,335756.24647892197,79,2
PROV1485,2021-02,333996.6438405717,106,6
PROV1485,2018-11,333351.6276011549,76,5
PROV1485,2019-01,329193.38714432163,76,4
PROV1485,2019-08,328392.88187710504,114,3
PROV1485,2017-06,324152.96184600645,115,5
PROV1475,2019-01,324053.0651280943,61,4
PROV1485,2018-05,323331.42889843456,100,6
PROV1585,2016-11,319255.246869039,81,2
PROV1475,2018-11,312088.24044738425,63,4
PROV1475,2017-06,311877.98184643907,62,4
PROV1585,2019-03,309390.67537833843,57,1
PROV1475,2018-01,308674.89686234767,49,4
PROV1485,2018-08,306962.3382349168,88,5
PROV1585,2017-02,298654.4758017595,75,2
PROV1585,2018-03,292658.33395666216,59,1
PROV1485,2017-07,288911.7824873513,102,3
PROV1485,2018-10,287347.10582258523,74,2
PROV1485,2017-03,283439.16734266235,107,6
PROV1485,2014-05,283403.10964126396,96,3
PROV1485,2017-10,281325.4899130303,69,3
PROV1485,2017-02,278939.1234862661,99,3
PROV1485,2019-06,277155.15766302164,93,1
PROV1475,2019-05,273344.9218994563,72,3
PROV1485,2020-05,269857.172488076,60,3
PROV1485,2019-07,265636.6688418608,88,2
PROV1485,2016-03,260722.43600371672,103,4
PROV1485,2015-04,259243.08621795446,109,4
PROV1485,2016-04,259111.1938370126,108,7
PROV1585,2019-10,258972.86605847627,73,2
PROV1485,2015-01,258952.74431689194,93,4
PROV1485,2017-09,256660.76432699442,79,4
PROV1485,2016-08,256423.53399472064,102,5
PROV1485,2016-12,255388.06839769628,92,5
PROV1585,2020-07,249801.4995114169,49,4
PROV1485,2015-08,245879.3981113404,97,8
PROV1475,2017-01,245805.37286600145,57,3
PROV1585,2017-10,244445.90265955328,73,3
PROV1475,2017-11,243330.12123239157,42,2
PROV41001800,2017-04,242372.53525918632,6,2
PROV1585,2020-11,240784.7923300887,95,5
PROV1485,2018-04,236575.89357065476,89,4
PROV1585,2017-06,234377.69422994653,59,1
PROV1485,2019-03,231653.0898901126,66,5
PROV1475,2018-06,231517.52714761902,44,2
PROV1485,2016-05,230495.0357029152,90,5
PROV1485,2017-01,228279.75668259157,101,5
PROV1485,2019-05,227892.1454636988,94,6
PROV1585,2018-02,225362.17007929648,38,1
PROV1485,2015-10,222856.93521098263,68,6
PROV1585,2017-12,222287.5511617934,56,1
PROV1485,2019-02,220949.70648518458,75,3
PROV1475,2021-02,220587.63857937627,59,3
PROV1585,2019-08,220539.81813933203,70,3
PROV1585,2018-08,218644.9125241681,65,2
PROV1485,2017-11,210829.8620853141,58,4
PROV1475,2019-02,210520.82866036118,18,2
PROV1585,2020-01,205936.5761052181,50,2
PROV1485,2019-12,205541.85082516423,106,1
PROV1485,2020-04,205194.06548747089,37,1
PROV1585,2018-09,201681.08188582284,64,3
PROV1475,2017-09,201310.75801830023,34,2
PROV1485,2020-03,198504.20963141398,39,3
PROV1475,2018-07,198009.59684044987,44,2
PROV1485,2016-10,194903.4277808394,86,6
PROV41001800,2015-03,194689.4654655902,3,3
PROV1585,2016-08,193668.3751400301,47,1
PROV1585,2018-12,192484.07808590375,46,1
PROV1485,2021-04,191361.3591876992,112,3
PROV1475,2017-08,191009.81448193395,33,2
PROV1485,2014-11,188266.11598596486,65,2
PROV1585,2018-07,187960.84256916362,54,3
PROV1585,2019-09,187460.68815879012,74,2
PROV1485,2015-11,187410.14633527346,69,4
PROV1485,2015-02,186796.39408517486,86,4
PROV1485,2016-01,186383.58997578325,88,4
PROV1485,2016-06,185473.61486173514,84,6
PROV1485,2016-11,185291.7983574181,74,4
PROV1485,2019-11,184504.76441275395,108,2
PROV1475,2020-02,183038.5735405014,47,2
PROV1867,2017-04,182519.3911118635,2,2
